POS,beautifully crafted and cooly unsettling . . . recreates the atmosphere of the crime expertly .,magnifiquement conçu et cooly troublant . . . recrée de manière experte l ' atmosphère du crime .,สร้างขึ้นอย่างสวยงามและไม่มั่นคงเย็นตา . . สร้างบรรยากาศของอาชญากรรมอย่างเชี่ยวชาญ,شيدت بشكل جميل وغير مستقر ... رائع ... بخلق خلق جو من الجريمة.,美しく細工された冷静な不安 。 。 。 犯罪の雰囲気を巧みに再現します 。,精美的制作和苦恼令人不安 。 。 。 专业地重现犯罪的气氛 。
POS,"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller - coaster ride from innocence to experience without even a hint of that typical kiddie - flick sentimentality .","visuellement imaginative , thématique instructive et tout à fait ravissante , elle nous fait parcourir des montagnes russes d’innocence à expérience sans même un soupçon de cette sentimentalité typique du film pour enfants .",จินตนาการที่ให้ความรู้ทางสายตาและให้คำแนะนำอย่างมีความสุขและละเอียดถี่ถ้วนทำให้เราต้องนั่งรถไฟเหาะจากความไร้เดียงสาเพื่อสัมผัสประสบการณ์,الخيال والمشورة التي تحسد عليها بصدق بكل سرور وتفاصيل تجعلنا مضطرين إلى ركوب السفينة الدوارة من البراءة لتجربة.,視覚的に想像力豊かで 、 テーマに沿った指導的で 、 そして完全に楽しい 、 それはその典型的な子供フリック感傷のヒントさえなしで経験へのジェットコースターに乗ることを我々に連れて行く 。,视觉上富有想象力 ， 主题具有启发性和令人愉快的感觉 ， 它带我们从纯真到体验的过山车 ， 甚至没有一丝典型的儿童电影多愁善感 。
POS,"this new movie version of the alexandre dumas classic is the stuff of high romance , brought off with considerable wit .","cette nouvelle version cinématographique du classique alexandre dumas est un film de haute romance , emportée avec un esprit considérable .",ภาพยนตร์เรื่องใหม่ของ alexandre dumas classic นี้เป็นเรื่องราวของความโรแมนติกที่ถูกนำออกมาพร้อมกับความฉลาดหลักแหลม,فيلم ألكساندر دوماس الكلاسيكي الجديد عبارة عن قصة رومانسية تم إنتاجها بذكاء.,alexandre dumas classicのこの新しい映画版は 、 かなりの知恵を持って発表された 、 ハイロマンスのものです 。,这部亚历山大 · 杜马斯经典的新电影版本是高级浪漫的东西 ， 带来了相当的机智 。
POS,"far more imaginative and ambitious than the trivial , cash - in features nickelodeon has made from its other animated tv series .",beaucoup plus imaginatif et ambitieux que les caractéristiques insignifiantes que nickelodeon a créées avec ses autres séries télévisées animées .,ความคิดสร้างสรรค์และความทะเยอทะยานยิ่งกว่าฟีเจอร์ตู้เพลงเล็ก ๆ น้อย ๆ ที่ทำจากทีวีซีรีย์อนิเมชันอื่น ๆ,الإبداع والطموح من مسرح يتميز قليلا قليلا من ذلك من المسلسلات التلفزيونية، والرسوم المتحركة وذلك على.,nickodeonが他のアニメ化されたテレビシリーズから作った些細な 、 現金払いの機能よりはるかに想像的で野心的なもの 。,比其他动画电视连续剧所做的那些琐碎的现金功能更具想象力和野心 。
POS,"it may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie ' s various victimized audience members after a while , but it also happens to be the movie ' s most admirable quality","dire que le film donne au spectateur le sentiment de ressembler après un certain temps aux différents membres du public victimes du film , mais il se trouve que c ' est aussi la qualité la plus admirable du film .",อาจเป็นการชมเชยที่แบ็คแฮนด์ค่อนข้างจะบอกว่าภาพยนตร์เรื่องนี้ทำให้ผู้ชมรู้สึกว่าสมาชิกผู้ชมที่ตกเป็นเหยื่อของภาพยนตร์หลายเรื่องหลังจากผ่านไประยะหนึ่ง แต่มันก็เป็นคุณภาพที่น่าชื่นชมที่สุดของภาพยนตร์ด้วยเช่นกัน,قد يكون مجاملًا أن الضربة الخلفية ستقول أن الفيلم جعل المشاهدين يشعرون بأن أفراد الجمهور كانوا ضحية للعديد من الأفلام بعد فترة من الوقت. لكنه أيضًا أفضل جودة للأفلام أيضًا,しばらくすると 、 映画が視聴者を映画の様々な被害を受けた観客のように感じさせると言うのは 、 やや恥ずべき賛辞であるかもしれませんが 、 それは映画の最も立派な品質であることも起こります,这部电影让观众在一段时间后感觉像电影的各种受害观众一样 ， 但也恰好是电影中最令人钦佩的品质 ， 这可能是一种讽刺的恭维 。
POS,"that storytelling has value cannot be denied . not even solondz ' s thirst for controversy , sketchy characters and immature provocations can fully succeed at cheapening it .","que la narration a de la valeur ne peut être niée . pas même la soif de controverse , les personnages sommaires et les provocations immatures de solondz ne parviennent pleinement à le déprécier .",การเล่าเรื่องที่มีค่าไม่สามารถปฏิเสธได้ แม้แต่ความกระหายในการโต้เถียงตัวละครที่ร่างและการยั่วยุที่ยังไม่บรรลุนิติภาวะสามารถประสบความสำเร็จในการทำให้เสื่อมลงได้อย่างเต็มที่,لا يمكن إنكار القص الثمين. حتى التعطش للجدل ، وشخصيات دون السن القانونية واستفزازات دون السن القانونية يمكن أن تكون ناجحة تمامًا في الاضمحلال.,ストーリーテリングに価値があることは否定できない 。 solondzの論争 、 大ざっぱな性格 、 未熟な挑発に対する渇望でさえ 、 それを安くすることに完全に成功することはできません 。,讲故事有价值 ， 不能否认 。 甚至连solondz对争议的渴望 ， 粗略的人物和不成熟的挑衅都不能完全成功地削弱它 。
POS,knows how to make our imagination wonder .,sait faire merveille notre imagination .,รู้วิธีที่จะทำให้จินตนาการของเราแปลกใจ,معرفة كيفية مفاجأة الأوهام لدينا,私たちの想像力を不思議にさせる方法を知っています 。,知道如何使我们的想象力奇迹 。
POS,"apart from anything else , this is one of the best - sustained ideas i have ever seen on the screen .","en dehors de tout ce qui précède , c’est l’une des idées les plus soutenues que j’ai jamais vues à l’écran .",นอกเหนือจากสิ่งอื่นนี่เป็นหนึ่งในแนวคิดที่ดีที่สุดที่ฉันเคยเห็นบนหน้าจอ,بصرف النظر عن أي شيء آخر ، يعد هذا أحد أفضل المفاهيم التي رأيتها على الشاشة.,他のものとは別に 、 これは私が今まで画面上で見た中で最も持続的なアイデアの一つです 。,除了其他任何东西 ， 这是我在屏幕上见过的最持久的想法之一 。
POS,"nair ' s cast is so large it ' s altman - esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion .","le casting de nair est si grand qu ' il est altman - esque , mais elle tourne habilement les multiples histoires de manière vibrante et enivrante .",นักแสดงของแนร์มีขนาดใหญ่มากมันเป็นเอสคิว แต่เธอก็หมุนเรื่องราวต่าง ๆ ในแบบที่สดใสและน่าตื่นเต้น,الجهات الفاعلة في ناير كبيرة للغاية. لكنها تدور القصة من نابضة بالحياة ومثيرة.,nairのキャストは非常に大きく 、 アルトマン風ですが 、 彼女は巧みに活気に満ちた酔わせるような方法で複数の物語を回転させます 。,奈尔的演员阵容如此之大 ， 以至于它的高手风格 ， 但她巧妙地以充满活力和令人陶醉的方式旋转了多个故事 。
POS,there is truth here,il y a la vérité ici,มีความจริงที่นี่,هناك الحقيقة هنا.,ここに真実があります,这里有道理
POS,trades run - of - the - mill revulsion for extreme unease .,traite la révulsion banale pour un malaise extrême .,ธุรกิจการค้าต่าง ๆ ดำเนินต่อไปอย่างน่ารังเกียจ,الصفقات التي تسير على مواصلة الهجوم.,は 、 非常に不安なことに 、 ランオブザミルの反発を交換します 。,为了极度不安而交易普通股的反感 。
POS,"it ' s excessively quirky and a little underconfident in its delivery , but otherwise this is the best ' old neighborhood ' project since christopher walken kinda romanced cyndi lauper in the opportunists .","c ' est excessivement bizarre et un peu peu confiant dans sa prestation , mais sinon c ' est le meilleur projet de «vieux quartier» depuis que christopher walken est un peu romancé par cyndi lauper chez les opportunistes .",มันเล่นโวหารมากเกินไปและไม่ค่อยมั่นใจในการจัดส่ง แต่อย่างอื่นนี่เป็นโครงการ 'ย่านเก่า' ที่ดีที่สุดตั้งแต่ผู้ที่นับถือศาสนาคริสต์เดินไปมาอย่างโรแมนติก cyndi lauper ในกลุ่มผู้ฉวยโอกาส,انها ملتوي للغاية وغير واثق في التسليم. المشروع الآخر هو " تاريخية " الأفضل منذ المسيحي المشي رومانسية وبر سيندي بين الانتهازيين.,それは過度に風変わりでその配信に少し自信がないですが 、 そうでなければクリストファー・ウォーケンはちょっと日和見主義者でシンディ・ローパーをロマンティックにしたので 、 これは最も良い「古い近所」プロジェクトです 。,它过于古怪 ， 而且在交付方面有点不自信 ， 但除此之外 ， 这是最好的 “ 老街区 ” 项目 ， 因为克里斯托弗走了一些浪漫的机会主义者的cyndi lauper 。
POS,"compared to his series of spectacular belly flops both on and off the screen , runteldat is something of a triumph .","comparé à sa série de flop abdominaux spectaculaires à la fois à l ' écran et hors de l ' écran , runteldat est une sorte de triomphe .",เมื่อเทียบกับชุดท้องอันน่าทึ่งของเขาทั้งเปิดและปิดหน้าจอ runteldat เป็นสิ่งที่ประสบความสำเร็จ,بالمقارنة مع مجموعة معدته المذهلة ، سواء داخل أو خارج الشاشة ، فإن runteldat شيء ناجح.,彼の一連の壮観な腹部がスクリーンの内外を問わず 、 runteldatはなんらかの勝利です 。,与他在屏幕上和屏幕上的一系列壮观的肚皮拍相比 ， runteldat是一种胜利 。
POS,". . . flat - out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , delicious dialogue and a wide supply of effective sight gags .",". . . amusant , parfois attachant et souvent fabuleux , avec une distribution solide , des personnages remarquables , un dialogue délicieux et un large éventail de gags efficaces .",". . . แบนออกน่าขบขันบางครั้งเป็นที่รักและมักจะยอดเยี่ยมด้วยตัวละครที่แข็งแกร่ง, ตัวละครที่น่าจดจำบทสนทนาแสนอร่อยและอุปทานจำนวนมากของมุขสายตาที่มีประสิทธิภาพ",... شقة التحبيب من مضحك أحيانا، وغالبا ما ممتازة، مع شخصية قوية ، الشخصيات، والحوار لا تنسى، والقلبية والكثير العرض البصر الكمامات فعالة.,。 。 。 しっかりしたキャスト 、 注目すべきキャラクター 、 美味しい対話 、 そして効果的な視線のギャグを幅広く提供する 、 フラットアウトの面白さ 、 時には愛情のこもった 、 しばしば素晴らしい 。,。 。 。 平坦有趣 ， 有时可爱 ， 往往很棒 ， 有坚实的演员 ， 值得注意的人物 ， 美味的对话和广泛的有效视觉噱头供应 。
POS,polished korean political - action film is just as good - - and bad - - as hollywood action epics . is this progress ?,le film d’action politique coréen poli est tout aussi bon - et mauvais - que les épopées d’action hollywoodiennes . est ce progrès ?,ภาพยนตร์เกาหลีแอ็คชั่นทางการเมืองขัดเกลาดีและไม่ดีเท่าแอคชั่นฮอลลีวู้ด ความคืบหน้านี้หรือไม่,أفلام الحركة الكورية ، مصقولة سياسيا جيدا وليس جيدة مثل أفلام هوليوود هذا التقدم أم لا,洗練された韓国の政治行動映画は 、 ハリウッドの行動叙事詩と同じくらい良い - そして悪い - です 。 この進歩ですか？,抛光的韩国政治动作电影与好莱坞动作史诗一样好 - 坏 。 这是进步吗？
POS,the way coppola professes his love for movies - - both colorful pop junk and the classics that unequivocally qualify as art - - is giddily entertaining .,la façon dont coppola professe son amour pour le cinéma - à la fois la camelote de la pop colorée et les classiques que l ' art qualifie sans équivoque - est amusante .,วิธีที่ coppola ยอมรับความรักในภาพยนตร์ของเขา - - ทั้งขยะป๊อปที่มีสีสันและคลาสสิกที่มีคุณสมบัติเทียบเท่าศิลปะ - - สนุกสนานอย่างน่าอัศจรรย์,- الطريقة التي يقبل بها كوبولا حب أفلامه - - كل من نفايات البوب ​​الملونة والكلاسيكية - مع الصفات الفنية المماثلة - متعة مدهشة,コッポラが映画に対する彼の愛情を宣伝する方法 - カラフルなポップジャンクとアートとして明白に資格がある古典の両方 - はうんざりするほど面白い 。,coppola表达了他对电影的热爱 - 无论是色彩缤纷的流行垃圾还是明确有资格成为艺术品的经典 - 都是令人愉悦的娱乐 。
POS,sex is one of those films that aims to confuse .,le sexe est l ' un de ces films qui vise à confondre .,เพศเป็นหนึ่งในภาพยนตร์ที่มุ่งสร้างความสับสน,الجنس هو أحد الأفلام التي تهدف إلى خلق الارتباك.,セックスは混乱を狙う映画の一つです 。,性是那些旨在混淆的电影之一 。
POS,"filmmakers dana janklowicz - mann and amir mann area headed east , far east , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world ' s democracie","les réalisateurs dana janklowicz - mann et amir mann dirigent les régions de l ' est et de l ' est , en racontant un épisode historique et personnel illustrant comment une ville internationale a accueilli des dizaines de milliers de réfugiés juifs allemands , tandis que la",ผู้สร้างภาพยนตร์ dana janklowicz - แมนน์และอาเมียร์แมนน์มุ่งหน้าไปทางทิศตะวันออกตะวันออกไกลในการเล่าเรื่องที่มีความสำคัญทางประวัติศาสตร์และเป็นรายละเอียดตอนที่รายละเอียดว่าเมืองนานาชาติหนึ่งเมืองยินดีต้อนรับผู้ลี้ภัยชาวยิวเยอรมันนับหมื่นในขณะที่ประชาธิปไตย,يتجه المخرجان دانا يانكلوفيتش - مان وأمير مان إلى الشرق الأقصى ، والشرق الأقصى ، في سرد ​​للأهمية التاريخية والتفاصيل ، عندما ترحب مدينة دولية باللاجئين. عشرات الآلاف من اليهود الألمان أثناء ديمقراطيتهم,世界の民主主義の間に1つの国際都市がドイツの何千人ものユダヤ人難民をどのように歓迎したかを詳述する歴史的に重要な 、 そして個人的なエピソードを詳述することでの映画製作者dana janklowicz - mannとamir mann,电影制片人dana janklowicz - mann和amir mann地区向东 ， 远东 ， 重述一个具有历史意义和个人风格的插曲 ， 详细描述了一个国际城市如何迎接成千上万的德国犹太难民 ， 而世界民主国家
POS,"there ' s a spontaneity to the chateau , a sense of light - heartedness , that makes it attractive throughout .","le château a une spontanéité , une sensation de légèreté qui le rend attrayant partout .",ความเป็นธรรมชาติของชาโตว์ซึ่งเป็นความรู้สึกของจิตใจที่เบาซึ่งทำให้มันน่าดึงดูดตลอด,طبيعية شاتو ، وهي قلب خفيف يجعلها جذابة دائمًا.,シャトーには自発性があり 、 明るさがあり 、 魅力的です 。,这座城堡有一种自发性 ， 一种轻松的感觉 ， 使整个城堡充满吸引力 。
POS,"the actors are so terrific at conveying their young angst , we do indeed feel for them .",les acteurs sont si formidables à transmettre leur jeune angoisse que nous sommes vraiment sensibles à eux .,นักแสดงมีความยอดเยี่ยมในการถ่ายทอดความทุกข์ของพวกเขาเรารู้สึกถึงพวกเขาอย่างแท้จริง,الجهات الفاعلة ممتازة في نقل معاناتهم ، ونحن نشعر بهم حقًا.,俳優たちは彼らの若い怒りを伝えるのがとても素晴らしいです 、 私たちは確かに彼らのために感じます 。,演员们在表达他们年轻的焦虑时非常棒 ， 我们确实为他们感受到了 。
POS,the large - format film is well suited to capture these musicians in full regalia and the incredible imax sound system lets you feel the beat down to your toes .,le film grand format est bien adapté pour capturer ces musiciens en grand air et l ' incroyable système de son imax vous permet de sentir le battement qui vous habite .,ภาพยนตร์รูปแบบขนาดใหญ่เหมาะอย่างยิ่งที่จะจับนักดนตรีเหล่านี้ในเครื่องราชกกุธภัณฑ์เต็มรูปแบบและระบบเสียง imax ที่น่าทึ่งช่วยให้คุณรู้สึกถึงจังหวะที่นิ้วเท้าของคุณ,تعد الأفلام ذات التنسيقات الكبيرة مثالية لعقد هؤلاء الموسيقيين بشكل كامل ونظام صوتي مذهل من imax لمساعدتك على الشعور بالإيقاع عند أصابع قدميك.,大判映画はこれらのミュージシャンを本格的に取り込むのに非常に適しています 。 信じられないほどのimaxサウンドシステムにより 、 つま先までビートを感じることができます 。,大幅面的电影非常适合以完整的标志捕捉这些音乐家 ， 令人难以置信的imax音响系统让您感受到脚趾的节拍 。
POS,"with few respites , marshall keeps the energy humming , and his edits , unlike those in moulin rouge , are crisp and purposeful without overdoing it .","avec peu de répits , marshall maintient l’énergie en fredonnant , et ses modifications , contrairement à celles de moulin rouge , sont précises et résolues , sans exagérer .",มาร์แชลล์จะเก็บพลังงานไว้และการแก้ไขของเขาซึ่งแตกต่างจากที่อยู่ใน moulin rouge นั้นมีความชัดเจนและมีจุดมุ่งหมายโดยไม่หักโหมเกินไป,سيوفر مارشال الطاقة وتصحيحه ، على عكس التصحيح الموجود في روج مولان ، واضح ومقصود دون بذل الكثير من الجهد.,わずかな休息で 、 マーシャルはエネルギーをハミングし続けます 、 そして 、 ムーランルージュのそれらとは異なり 、 彼の編集はそれを無理せずにさわやかでそして意図的です 。,马歇尔很少有人能够保持精力充沛 ， 他的编辑与胭脂红中的编辑不同 ， 他们的编辑清晰而有目的 ， 而且不会过度 。
POS,"grenier is terrific , bringing an unforced , rapid - fire delivery to toback ' s heidegger - and nietzsche - referencing dialogue .","grenier est formidable , apportant une livraison rapide et non forcée au dialogue de toback heidegger - et nietzsche - toback de toback .",คนจัดกองทัพนั้นยอดเยี่ยมนำการส่งไฟที่ไม่มีการบังคับและรวดเร็วไปยังบทสนทนาอ้างอิงของไฮเดกเกอร์และนิทซ์เชช,كان المنظمون ممتازين ، حيث جلبوا النار السريعة وغير المنضبط إلى مراجع Heidegger و Nitzchex.,grenierは素晴らしいもので 、 tobackのハイデガーとニーチェを参照する対話に 、 強制されていない速攻配信をもたらします 。,grenier非常棒 ， 为toback的海德格尔和尼采引用对话带来了非强制性的快速交付 。
POS,"even before it builds up to its insanely staged ballroom scene , in which 3000 actors appear in full regalia , it ' s waltzed itself into the art film pantheon .","avant même que la scène de la salle de bal , où 3000 acteurs apparaissent en grand costume , se déroule dans une scène insensée , le film se déroule dans le panthéon du film d ' art .","แม้กระทั่งก่อนที่มันจะสร้างฉากเต้นรำอย่างบ้าคลั่งซึ่งมีนักแสดงกว่า 3,000 คนปรากฏในเครื่องราชกกุธภัณฑ์เต็มรูปแบบ",حتى قبل أن يخلق مشهدًا رقصًا مجنونًا ، ظهر فيه أكثر من 3،000 ممثل بشكل كامل.,3000人の俳優が本格的に登場する 、 舞台裏の舞踏会のシーンになる前であっても 、 それは芸術映画のパンテオンの中に入り込んでいました 。,甚至在它建立到疯狂上演的舞厅场景之前 ， 其中有3000名演员出现在完整的标志中 ， 它已经进入艺术电影万神殿 。
POS,the dangerous lives of altar boys ' take on adolescence feels painfully true .,la vie dangereuse vécue par les garçons de l ' autel à l ' adolescence est douloureusement vraie .,ชีวิตที่เป็นอันตรายของการใช้เวลาเด็กชายแท่นบูชาในวัยรุ่นรู้สึกเจ็บปวดอย่างแท้จริง,الحياة الخطيرة لقضاء الوقت مع صبي مذبح في سن المراهقة تشعر بالألم حقا.,青年期の祭壇少年たちの危険な生活は痛いほど真実だと感じています 。,祭坛男孩对青春期的危险生活感觉非常痛苦 。
POS,"stephen rea , aidan quinn , and alan bates play desmond ' s legal eagles , and when joined by brosnan , the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing , ' tis .","stephen rea , aidan quinn et alan bates jouent les aigles légaux de desmond , et quand ils sont rejoints par brosnan , la vue de ce quatuor grandiloquent se prélassant dans de jolis décors irlandais est une chose assez agréable , c ' est .","สตีเฟ่นเรีย, ไอดานควินน์และอลันเบตส์เล่นอินทรีตามกฎหมายของเดสมอนด์และเมื่อเข้าร่วมโดยบอสนานสายตาของควอเตตที่สง่างามแห่งนี้กำลังตกอยู่ในสภาพที่ค่อนข้างไอริช",يلعب ستيفن ري ، وإيدان كوين وألان بيتس دور النسور القانوني لديزموند ، وعندما تنضم إلى رئيسه منذ فترة طويلة ، فإن أعين هذه اللجنة الرباعية الأنيقة تقع في حالة من الأيرلندية تماما,スティーブン・レア 、 エダン・クイン 、 そしてアラン・ベイツがデズモンドの合法的なイーグルスを演奏し 、 そしてブロスナンと一緒になったとき 、 かなりアイルランド風の雰囲気の中で大胆に振る舞うこのカルテットの光景は十分に楽しいことです 。,stephen rea ， aidan quinn和alan bates饰演德斯蒙德的合法鹰 ， 当他们加入布鲁斯南时 ， 看到这个雄伟的四重奏在非常爱尔兰的环境中徘徊是一件令人愉快的事情 。
POS,it ultimately stands forth as an important chronicle of the abuses of one of latin america ' s most oppressive regimes .,c ' est finalement une chronique importante des abus de l ' un des régimes les plus oppressants de l ' amérique latine .,ในที่สุดมันก็โดดเด่นในฐานะที่เป็นเหตุการณ์สำคัญของการละเมิดของระบอบเผด็จการที่สุดของละตินอเมริกา,في النهاية ، تم تمييزه كحدث هام لانتهاك دكتاتورية أمريكا اللاتينية.,それは最終的にラテンアメリカの最も抑圧的な政権の1つの虐待の重要な年代記として際立っています 。,它最终成为拉丁美洲最压迫政权之一滥用的重要编年史 。
POS,too sincere to exploit its subjects and too honest to manipulate its audience .,trop sincère pour exploiter ses sujets et trop honnête pour manipuler son public .,จริงใจเกินไปที่จะใช้ประโยชน์จากหัวข้อและซื่อสัตย์เกินไปที่จะจัดการกับผู้ชม,صادقة للغاية للاستفادة من الموضوع وصادقة للغاية للتعامل مع الجمهور,その主題を悪用するには誠実すぎるし 、 その観客を操作するには誠実すぎる 。,过于诚实 ， 无法利用其主题 ， 过于诚实 ， 无法操纵其观众 。
POS,a lovely film for the holiday season .,un beau film pour la saison des vacances .,ภาพยนตร์ที่น่ารักสำหรับเทศกาลวันหยุด,أفلام جميلة لموسم العطلات,ホリデーシーズンの素敵な映画 。,一部可爱的假期电影 。
POS,you can sip your vintage wines and watch your merchant ivory productions ; i ' ll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .,vous pouvez siroter vos vins millésimés et regarder vos productions d ' ivoire des marchands ; je me contenterai d ' un bon verre de thé glacé et d ' un film de jerry bruckheimer tous les jours de la semaine .,คุณสามารถจิบไวน์วินเทจและชมการผลิตงาช้างของพ่อค้า ฉันจะเลือกชาเย็นที่เย็นชาและเจอร์รี่บรั๊คไฮเมอร์สะบัดทุกวันตลอดสัปดาห์,يمكنك احتساء النبيذ العتيق ورؤية الإنتاج العاجي للتاجر. اخترت الشاي المثلج ورمي جيري بروكهايمر كل يوم من أيام الأسبوع.,あなたはあなたのビンテージワインを飲みながら 、 あなたのマーチャントアイボリー作品を観ることができます 。 私はアイスティーとジェリー・ブルックハイマー・フリックを毎週好きなときは冷たいコップ一杯にします 。,你可以啜饮葡萄酒并观看商品象牙制作 ; 一周中的任何一天 ， 我都会选择一杯凉爽的冰茶和一个杰里 · 布鲁克海默轻弹 。
POS,"demonstrates the unusual power of thoughtful , subjective filmmaking .",démontre le pouvoir inhabituel d ' un film réfléchi et subjectif .,แสดงให้เห็นถึงพลังที่ผิดปกติของการสร้างภาพยนตร์ที่รอบคอบและเป็นส่วนตัว,أظهر القوة غير العادية لصناعة الأفلام المدروسة والشخصية,思慮深く 、 主観的な映画制作の変わった力を示しています 。,展示了深思熟虑的主观电影制作的不寻常力量 。
POS,[reaches] wholly believable and heart - wrenching depths of despair .,[atteint] des profondeurs de désespoir totalement crédibles et déchirantes .,[เข้าถึง] ผู้ที่เชื่อถือได้และหัวใจ - ทำลายส่วนลึกของความสิ้นหวัง,[ إمكانية الوصول ] أشخاص موثوقون وقلوب - دمروا أعماق اليأس.,完全に信じられ 、 心を奪うような絶望の深さ 。,[达到]完全可信和痛苦的绝望深度 。
POS,for all its serious sense of purpose . . . [it] finds a way to lay bare the tragedies of its setting with a good deal of warmth and humor .,pour tout son sérieux sens du but . . . [il] trouve le moyen de dévoiler les tragédies de son décor avec beaucoup de chaleur et d’humour .,สำหรับวัตถุประสงค์ที่จริงจัง . . [หา] พบหนทางที่จะวางโศกนาฏกรรมในที่ตั้งด้วยความอบอุ่นและอารมณ์ขัน,لأغراض جدية .. [ إيجاد ] إيجاد طريقة لوضع المأساة في الموقع مع الدفء والفكاهة.,そのすべての深刻な目的のために 。 。 。 その場の悲劇を 、 かなりの暖かさとユーモアを持って裸にする方法を見つけます 。,尽管它有严肃的目的感 。 。 。 [它]找到了一种方式 ， 以一种温暖和幽默的方式揭露其环境的悲剧 。
POS,"they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness . and we don ' t avert our eyes for a moment .","ils s’écrasent sous les voitures , se jettent par la fenêtre , électrocutent et démembrent leurs victimes en pleine conscience . et nous ne détournons pas les yeux un instant .",พวกเขาบดขยี้กันภายใต้รถยนต์โยนหน้าต่างออกจากกันไฟฟ้าและชิ้นส่วนเหยื่อของพวกเขาด้วยความตระหนัก และเราจะไม่เบี่ยงเบนความสนใจไปสักครู่,لقد سحقوا بعضهم بعضاً تحت السيارة ، ورشقوا النوافذ والكهرباء وقطع غيارهم مع وعيهم. ولن نحول انتباهنا للحظة,彼らは車の下でお互いを押しつぶし 、 窓の外にお互いを投げ捨て 、 感電し 、 そして犠牲者を完全な意識で忘れています 。 私たちはしばらく目をそらすことはありません 。,他们在汽车下相互挤压 ， 互相抛出窗户 ， 电击并在全意识中肢解他们的受害者 。 我们暂时不会避开我们的眼睛 。
POS,"[director peter] jackson and his crew have so steeped themselves in the majesty of tolkien ' s writing that every frame produces new joys , whether you ' re a fan of the books or not .","[le directeur peter] jackson et son équipe se sont tellement imprégnés de la majesté de l ' écriture de tolkien que chaque image produit de nouvelles joies , que vous soyez fan des livres ou non .",แจ็คสันและผู้อำนวยการของเขาก็หมกมุ่นอยู่กับความยิ่งใหญ่ของการเขียนของโทลคีนว่าทุกเฟรมจะสร้างความสุขใหม่ไม่ว่าคุณจะเป็นแฟนหนังสือหรือไม่,جاكسون ومخرجه مهووسون بعظمة كتابة تولكين ، بحيث يخلق كل إطار سعادة جديدة سواء كنت من محبي الكتب أم لا.,[監督ピーター]ジャクソンと彼の乗組員はあなたが本のファンであるかどうかにかかわらず 、 すべてのフレームが新しい喜びを生み出すようにtolkienの執筆の威厳に彼ら自身を浸しました 。,[导演彼得]杰克逊和他的工作人员沉浸在托尔基恩写作的威严之中 ， 每一帧都产生新的乐趣 ， 无论你是不是书的粉丝 。
POS,binoche and magimel are perfect in these roles .,binoche et magimel sont parfaits dans ces rôles .,binoche และ magimel นั้นสมบูรณ์แบบในบทบาทเหล่านี้,Binoche و Magimel مثاليان في هذه الأدوار.,binocheとmagimelはこれらの役割において完璧です 。,binoche和magimel在这些角色中是完美的 。
POS,"this version ' s no classic like its predecessor , but its pleasures are still plentiful .","cette version n ' est pas un classique comme son prédécesseur , mais ses plaisirs sont toujours nombreux .",รุ่นนี้ไม่มีความคลาสสิคเหมือนรุ่นก่อน แต่ความสนุกยังคงมีอยู่มากมาย,هذا النموذج ليس كلاسيكيًا مثل الطراز السابق. ولكن لا يزال الكثير من المرح,このバージョンはその前身のような古典的なものではありませんが 、 その喜びはまだ豊富です 。,这个版本不像它的前辈那样经典 ， 但它的乐趣仍然很丰富 。
POS,a charming but slight comedy .,une comédie charmante mais légère .,หนังตลกที่มีเสน่ห์ แต่เล็กน้อย,فيلم كوميدي ساحر لكن قليلا,魅力的だがわずかなコメディー 。,一部迷人但轻微的喜剧 。
POS,it ' s a lovely film with lovely performances by buy and accorsi .,c ' est un beau film avec de belles performances de buy et accorsi .,มันเป็นภาพยนตร์ที่น่ารักที่มีการแสดงที่น่ารักโดยการซื้อและอุปกรณ์,إنه فيلم جميل يحتوي على عرض جميل عن طريق الشراء والمعدات.,それは購入とaccorsiによる素敵なパフォーマンスを持つ素敵な映画です 。,这是一部可爱的电影 ， 有买和accorsi的可爱表演 。
POS,"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[gai] se rapproche de n ' importe quelle actrice dont je me souviendrai pour personnifier l ' indépendance dans sa forme la plus pure et , bien entendu , la plus intimidante .",[ไก] เข้ามาใกล้กับนักแสดงหญิงคนใดฉันจำได้เพื่อแสดงความเป็นอิสระในรูปแบบที่บริสุทธิ์และใช่รูปแบบที่น่ากลัวที่สุด,[ Kai ] اقتربوا من أي ممثلة ، أتذكر أن أبدي الحرية في شكل نقي ونعم ، الأكثر رعباً.,[外]は 、 最も純粋で 、 最も恐ろしい形で独立を擬人化することを私が覚えていることができるどんな女優にでも近づく 。,[gai]更接近于任何我能记得以最纯粹 ， 最好 ， 最恐怖的形式来表现独立的女演员 。
